research_id,seed,resource_id,detections,completions,harvest_duration_s,delivered_energy,mean_harvest_duration_s
R01,82784102,A,2,2,80.0,0.0,40.0
R01,82784102,B,1,1,20.0,0.0,20.0
R01,82784102,C,0,0,0.0,0.0,0.0
R02,98386804,A,2,2,80.0,0.0,40.0
R02,98386804,B,1,1,20.0,0.0,20.0
R02,98386804,C,0,0,0.0,0.0,0.0
R03,358777504,A,1,1,40.0,0.0,40.0
R03,358777504,B,1,1,20.0,0.0,20.0
R03,358777504,C,1,1,10.0,0.0,10.0
R04,385197017,A,2,2,80.0,0.0,40.0
R04,385197017,B,1,1,20.0,1.0,20.0
R04,385197017,C,1,1,10.0,0.0,10.0
R05,413997162,A,2,2,80.0,0.0,40.0
R05,413997162,B,2,2,40.0,1.0,20.0
R05,413997162,C,0,0,0.0,0.0,0.0
