research_id,seed,scout_id,initial_internal_energy,total_nest_energy_withdrawn,withdrawal_timestamp_s,energy_after_withdrawal,depletion_timestamp_s,cycle_id_at_depletion,phase_at_depletion,resource_last_harvested,distance_travelled_at_depletion,returned_to_nest_before_depletion,final_internal_energy
R01,82784102,0,3.0,0,,,1670.7,1,DEPLETED,A,277.4639999999543,False,0.0
R01,82784102,1,3.0,0,,,1629.7,1,DEPLETED,B,279.2899999999536,False,0.0
R01,82784102,2,3.0,0,,,1637.2,1,DEPLETED,A,280.2799999999532,False,0.0
R02,98386804,0,3.0,0,,,1718.4,1,DEPLETED,A,273.3939999999559,False,0.0
R02,98386804,1,3.0,0,,,1678.0,1,DEPLETED,B,275.1539999999552,False,0.0
R02,98386804,2,3.0,0,,,1698.4,1,DEPLETED,A,275.1539999999552,False,0.0
R03,358777504,0,3.0,0,,,1700.6,1,DEPLETED,A,274.9339999999553,False,0.0
R03,358777504,1,3.0,0,,,1689.4,1,DEPLETED,B,274.1859999999556,False,0.0
R03,358777504,2,3.0,0,,,1767.9,1,DEPLETED,C,266.7499999999585,False,0.0
R04,385197017,0,3.0,1.0,1045.5,2.174506,2246.9,2,DEPLETED,C,366.3659999999194,True,0.0
R04,385197017,1,3.0,0,,,1697.0,1,DEPLETED,A,275.2199999999552,False,0.0
R04,385197017,2,3.0,0,,,1668.1,1,DEPLETED,A,277.6839999999542,False,0.0
R05,413997162,0,3.0,0,,,1684.1,1,DEPLETED,B,274.6039999999554,False,0.0
R05,413997162,1,3.0,1.0,960.7,2.31585,2306.4,2,DEPLETED,A,363.8359999999204,True,0.0
R05,413997162,2,3.0,0,,,1665.1,1,DEPLETED,A,277.9039999999541,False,0.0
